HIP,Memb,Simbad,_RA,_DE,RA,DEC
59898.0,66.0,b'Simbad',184.27629,-65.69296,184.27629,-65.69296
59960.0,89.0,b'Simbad',184.47163,-55.97552,184.47163,-55.97552
60009.0,79.0,b'Simbad',184.60937,-64.00307,184.60937,-64.00307
60205.0,62.0,b'Simbad',185.18417,-52.25694,185.18417,-52.25694
60245.0,74.0,b'Simbad',185.29884,-48.05533,185.29884,-48.05533
60348.0,78.0,b'Simbad',185.60356,-51.02621,185.60356,-51.02621
60379.0,53.0,b'Simbad',185.70597,-57.67613,185.70597,-57.67613
60459.0,88.0,b'Simbad',185.9258,-63.87008,185.9258,-63.87008
60513.0,76.0,b'Simbad',186.0761,-58.97645,186.0761,-58.97645
60561.0,73.0,b'Simbad',186.21632,-72.6039,186.21632,-72.6039
60577.0,81.0,b'Simbad',186.24852,-50.19185,186.24852,-50.19185
60710.0,71.0,b'Simbad',186.63233,-51.45064,186.63233,-51.45064
60718.0,66.0,b'Simbad',186.64956,-63.09909,186.64956,-63.09909
60823.0,79.0,b'Simbad',187.00993,-50.23064,187.00993,-50.23064
60851.0,82.0,b'Simbad',187.08026,-64.34099,187.08026,-64.34099
60855.0,70.0,b'Simbad',187.0936,-39.04117,187.0936,-39.04117
61049.0,85.0,b'Simbad',187.69281,-58.18799,187.69281,-58.18799
